product_name,price,rating,review_count,avg_sentiment,category,discount,brand,primary_platform,secondary_platform
Anti Dandruff Oil,600.0,4.66,155,0.208,skincare,0.0,Deyga,Instagram,Influencer Marketing
Anti Dandruff Oil Mini 50 ml,375.0,4.66,155,0.208,skincare,0.0,Deyga,Instagram,Influencer Marketing
Vanilla Deo,399.0,4.66,44,0.542,generic,0.0,Deyga,Instagram,Influencer Marketing
Vanilla Lip Balm,240.0,4.78,104,0.089,skincare,0.0,Deyga,Instagram,Influencer Marketing
Soft Lip Combo,519.0,4.82,95,0.283,skincare,0.0,Deyga,Instagram,Influencer Marketing
Beautifying Serum,690.0,4.75,324,0.584,skincare,0.0,Deyga,Instagram,Influencer Marketing
Hair Removal Powder Mini 15g,190.0,4.68,1422,0.349,skincare,0.0,Deyga,Instagram,Influencer Marketing
Vitamin C Daily Glow Combo,999.0,4.89,373,0.241,home,0.0,Deyga,Google Ads,Instagram
Foot Butter Mini 10g,180.0,4.81,950,0.359,generic,0.0,Deyga,Marketplace Ads,Instagram
Loose Setting Powder,599.0,4.77,31,0.394,skincare,0.0,Deyga,Instagram,Influencer Marketing
Coconut Milk Shampoo Bar,370.0,4.68,114,0.522,haircare,0.0,Deyga,Instagram,Influencer Marketing
Wild Berry Body Wash - 220ml,449.0,4.75,101,0.475,generic,0.0,Deyga,Instagram,Influencer Marketing
Tea Tree Toner Mini - 50 ml,299.0,4.76,174,0.14,skincare,0.0,Deyga,Instagram,Influencer Marketing
Hair Strengthening Combo,1199.0,4.8,75,0.534,skincare,0.0,Deyga,Google Ads,Instagram
Rice Water Shampoo 220ml,545.0,4.8,1270,0.323,haircare,0.0,Deyga,Marketplace Ads,Instagram
Clear Skin Combo,649.0,4.79,543,0.789,haircare,0.0,Deyga,Instagram,Influencer Marketing
Soy Milk Conditioner 220ml,590.0,4.84,493,0.27,haircare,0.0,Deyga,Instagram,Influencer Marketing
Deyga New Age Pads,239.0,4.99,83,0.126,generic,0.0,Deyga,Google Ads,Instagram
