price,rating,review_count,avg_sentiment,category,discount,primary_platform,secondary_platform
549.4,4.81,1528,0.345,haircare,0.53,Marketplace Ads,Instagram
402.01,4.77,1180,0.529,generic,3.13,Marketplace Ads,Instagram
36.45,5.0,0,0.551,generic,1.06,Email,WhatsApp
315.98,4.84,394,-0.072,skincare,0.35,Instagram,Influencer Marketing
58.92,5.0,2,-0.073,books,0.33,Email,Google Ads
396.75,4.84,1284,0.389,generic,4.38,Marketplace Ads,Instagram
65.87,2.94,1,-0.077,generic,0.0,Google Ads,Instagram
540.24,4.83,151,-0.004,skincare,0.0,Instagram,Influencer Marketing
598.97,4.86,1362,0.312,haircare,4.92,Marketplace Ads,Instagram
195.67,5.0,13,0.954,skincare,0.0,Instagram,Influencer Marketing
41.71,5.0,6,0.02,books,0.0,Email,Google Ads
1199.22,4.96,356,0.389,haircare,0.0,Google Ads,Instagram
201.54,4.78,869,0.374,generic,2.84,Marketplace Ads,Instagram
355.87,4.82,36,0.471,generic,4.61,Email,WhatsApp
11.2,2.98,0,-0.068,generic,0.0,Google Ads,Instagram
57.72,1.96,6,-0.55,generic,0.0,Google Ads,Instagram
1026.12,4.7,126,0.318,haircare,0.0,Google Ads,Instagram
736.97,3.8,37,0.082,generic,0.0,Google Ads,Instagram
175.46,4.82,1289,0.322,haircare,0.0,Marketplace Ads,Instagram
349.64,4.79,110,0.513,haircare,4.7,Instagram,Influencer Marketing
200.05,4.79,1011,0.245,haircare,4.27,Marketplace Ads,Instagram
341.35,4.27,134,0.173,skincare,1.88,Instagram,Influencer Marketing
318.78,4.44,805,0.217,generic,0.0,Marketplace Ads,Instagram
354.24,4.78,904,0.352,haircare,0.0,Marketplace Ads,Instagram
74.07,1.04,0,-0.078,generic,0.0,Google Ads,Instagram
42.35,5.0,0,0.006,books,0.06,Email,Google Ads
61.13,2.97,0,0.041,generic,0.0,Google Ads,Instagram
212.29,4.82,1509,0.346,haircare,0.0,Marketplace Ads,Instagram
379.4,4.82,1817,0.501,generic,0.0,Marketplace Ads,Instagram
381.81,4.75,1623,0.558,skincare,0.0,Instagram,Influencer Marketing
983.42,4.66,5894,0.513,generic,0.43,Google Ads,Marketplace Ads
790.09,4.9,14,0.218,generic,0.0,Email,WhatsApp
358.17,4.9,186,0.256,skincare,0.0,Instagram,Influencer Marketing
731.69,4.17,127,-0.048,generic,0.0,Google Ads,Instagram
34.3,5.0,11,0.435,generic,2.37,Email,WhatsApp
496.28,5.0,29,0.5,generic,0.0,Email,WhatsApp
660.41,4.68,905,0.291,haircare,0.0,Marketplace Ads,Instagram
27.69,1.98,0,-0.407,generic,0.0,Google Ads,Instagram
561.6,4.65,1450,0.412,haircare,0.0,Marketplace Ads,Instagram
644.42,4.99,502,0.469,haircare,0.0,Marketplace Ads,Instagram
26.47,4.91,0,0.54,generic,0.0,Email,WhatsApp
17.1,1.08,6,-0.079,generic,0.06,Google Ads,Instagram
32.69,5.0,3,0.56,generic,1.9,Email,WhatsApp
931.75,4.95,44,0.459,generic,0.77,Google Ads,Email
316.96,4.73,0,-0.418,skincare,0.0,Instagram,Influencer Marketing
23.33,4.66,0,0.222,skincare,0.0,Instagram,Influencer Marketing
200.75,4.84,6,0.019,skincare,0.0,Instagram,Influencer Marketing
525.37,4.82,79,0.346,generic,0.46,Instagram,Influencer Marketing
659.05,5.0,734,0.538,haircare,0.0,Marketplace Ads,Instagram
619.22,3.91,0,0.282,skincare,0.0,Instagram,Influencer Marketing
1091.48,4.52,141,-0.05,skincare,0.0,Google Ads,Instagram
